Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,FPTS
Jordan Walker OF | STL,316,36,76,52,14,1,9,37,25,93,6,2,0.24,0.303,0.377,220
Alek Thomas OF | ARI ,301,38,71,47,14,3,7,31,16,75,7,2,0.236,0.28,0.372,220
Jorge Mateo OF | ATL,196,32,42,26,11,1,4,18,12,53,20,3,0.214,0.261,0.342,217
Alex Call OF | LAD,248,34,60,42,12,1,5,28,34,51,5,3,0.242,0.343,0.359,217
Spencer Horwitz 1B | PIT,244,35,65,41,16,0,8,33,30,52,0,0,0.266,0.351,0.43,217
Ivan Herrera DH | STL ,218,32,63,46,9,0,8,32,24,49,4,1,0.289,0.372,0.44,215
MJ Melendez OF | NYM,335,38,72,40,18,3,11,34,33,102,3,3,0.215,0.29,0.385,214
Blake Perkins OF | MIL,227,36,53,39,9,1,4,27,27,67,12,3,0.234,0.315,0.335,214
"Jake Bauers 1B,OF | MIL",242,34,51,29,11,1,10,34,33,91,8,1,0.211,0.309,0.388,211
Santiago Espinal 3B | LAD ,296,29,73,56,13,0,4,29,21,43,5,1,0.247,0.299,0.331,209
"Edmundo Sosa 2B,3B | PHI",257,34,67,43,13,2,9,33,10,65,4,1,0.261,0.302,0.432,207
Carson Kelly C | CHC ,262,31,62,43,9,1,9,33,28,58,1,0,0.237,0.315,0.382,200
"Brett Baty 2B,3B | NYM ",300,36,70,50,9,1,10,33,26,86,3,0,0.233,0.298,0.37,200
Eddie Rosario DH | MIL ,261,33,58,35,12,1,10,36,17,67,4,2,0.222,0.268,0.391,200
Jason Heyward OF | SD ,216,33,51,29,12,1,9,30,21,46,2,1,0.236,0.306,0.426,199
David Hamilton 2B | MIL,168,25,37,23,8,1,5,16,14,46,19,4,0.22,0.284,0.369,198
Jesse Winker DH | NYM,222,29,53,36,11,1,5,30,33,59,5,1,0.239,0.347,0.365,197
Kyle Farmer 2B | ATL ,276,33,65,42,14,1,8,34,20,67,2,3,0.235,0.299,0.38,195
"Miguel Andujar 3B,OF | SD",236,25,70,50,13,1,6,31,12,35,2,1,0.297,0.332,0.436,195
Will Brennan OF | SF,258,26,68,51,12,1,4,24,12,35,6,3,0.264,0.303,0.364,193
Freddy Fermin C | SD,292,33,78,59,12,0,7,31,18,60,1,1,0.267,0.312,0.38,193
Harold Ramirez DH | WAS,213,29,62,47,9,1,5,32,9,43,4,2,0.291,0.326,0.413,192
Dylan Crews OF | WAS ,206,28,44,30,6,2,6,18,18,51,14,4,0.214,0.286,0.349,192
Connor Norby 3B | MIA,244,37,60,39,13,0,8,27,16,77,6,2,0.246,0.295,0.398,190
Nick Gonzales 2B | PIT,285,31,73,51,15,2,5,31,15,61,2,2,0.256,0.3,0.375,188
"Noelvi Marte 3B,OF | CIN ",227,28,58,39,11,1,7,28,11,62,8,3,0.256,0.295,0.405,186
Michael Toglia 1B | CIN ,282,34,56,31,11,1,13,32,31,110,5,1,0.199,0.279,0.383,179
Pavin Smith 1B | ARI,191,29,45,26,11,0,8,31,31,56,1,1,0.236,0.339,0.419,173
"Edouard Julien 1B,2B | COL ",262,36,61,40,12,0,9,23,40,97,3,1,0.233,0.338,0.382,172
