Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,FPTS
Luke Williams SS | ATL ,263,33,68,43,16,2,7,31,22,62,12,3,0.259,0.321,0.414,242
"Javier Sanoja 2B,3B,OF | MIA",260,35,68,40,18,3,7,34,20,54,6,3,0.262,0.315,0.435,240
Nelson Velazquez DH | STL ,309,40,71,42,14,1,14,42,32,94,3,1,0.23,0.308,0.417,239
Nacho Alvarez Jr. 3B | ATL ,327,37,85,56,20,1,8,35,25,77,3,1,0.26,0.319,0.401,238
Chas McCormick OF | CHC ,368,47,80,55,16,1,8,34,36,123,10,8,0.217,0.304,0.332,237
Jose Azocar OF | ATL ,259,36,65,42,12,2,9,32,23,65,8,2,0.251,0.317,0.417,236
Tyler Locklear 1B | ARI ,274,37,69,45,12,1,11,37,30,75,4,1,0.252,0.332,0.423,235
Pedro Pages C | STL ,389,41,93,63,14,1,15,48,24,119,1,0,0.239,0.287,0.396,234
"Ryan Ritter 2B,SS | COL",317,41,80,55,16,3,6,35,23,88,8,3,0.252,0.313,0.379,234
Konnor Griffin SS | PIT ,254,33,68,45,13,2,8,30,22,63,9,2,0.268,0.331,0.429,233
Kris Bryant DH | COL ,293,36,74,48,14,1,11,43,29,82,2,0,0.253,0.332,0.42,231
Jose Trevino C | CIN,324,39,80,51,20,0,9,36,21,63,1,0,0.247,0.293,0.392,229
Luis Torrens C | NYM,330,34,81,53,18,1,9,41,28,76,1,0,0.245,0.308,0.388,228
"Edouard Julien 1B,2B | COL ",370,44,88,59,18,0,11,40,39,127,3,3,0.238,0.315,0.376,227
Ben Rortvedt C | NYM,317,37,70,46,16,0,8,42,33,83,1,0,0.221,0.302,0.347,221
Sean Murphy C | ATL ,304,35,65,37,12,1,15,41,33,90,0,0,0.214,0.305,0.408,218
Justin Dean OF | CHC,187,28,48,29,10,1,8,26,19,49,12,3,0.257,0.33,0.449,215
Ty France 1B | SD ,259,31,74,52,17,0,5,34,15,47,1,0,0.286,0.342,0.409,210
Benjamin Cowles SS | CHC ,195,29,53,35,10,1,7,26,16,43,7,2,0.272,0.332,0.441,198
Ryan Ward OF | LAD,190,29,51,32,10,1,8,27,20,46,6,2,0.268,0.343,0.458,198
Ryan Waldschmidt OF | ARI ,192,29,51,31,10,2,8,27,20,49,6,2,0.266,0.34,0.464,196
Max Kepler OF | PHI ,231,32,56,35,11,1,9,28,23,57,3,0,0.242,0.314,0.416,195
Nasim Nunez SS | WAS,195,27,51,34,10,1,6,26,15,48,9,2,0.262,0.315,0.415,193
Reese McGuire C | MIL ,261,29,59,41,8,0,10,40,18,66,2,0,0.226,0.277,0.372,193
"Christian Koss 2B,SS | SF",194,28,55,37,11,1,6,29,14,46,5,2,0.283,0.333,0.443,186
Leandro Cedeno 1B | ARI ,188,26,52,33,11,1,7,29,18,41,2,0,0.277,0.348,0.457,183
Bryce Johnson OF | SD,190,26,51,34,10,1,6,26,15,46,6,1,0.268,0.33,0.426,182
Steward Berroa OF | MIL ,190,28,46,30,9,1,6,25,19,52,8,2,0.242,0.316,0.395,182
Jett Williams SS | MIL ,196,28,52,35,10,1,6,25,16,47,6,2,0.265,0.326,0.418,181
Drew Gilbert OF | SF ,189,26,48,28,11,2,7,26,17,46,5,2,0.254,0.322,0.444,179
Rece Hinds OF | CIN,187,28,46,26,9,2,9,27,17,58,5,1,0.246,0.314,0.46,176
Garrett Hampson OF | CIN ,249,31,55,37,11,1,6,24,25,82,9,4,0.221,0.295,0.345,174
Tyler Callihan OF | CIN ,188,26,47,29,9,1,8,27,18,53,5,1,0.25,0.321,0.436,174
Aaron Schunk 2B | ATL ,199,27,55,37,11,1,6,22,15,42,4,1,0.276,0.332,0.432,174
Mason McCoy SS | SD,193,28,50,33,11,1,5,23,14,50,7,1,0.259,0.314,0.404,174
